year,country_iso,country_name,commodity,import_value,export_value,trade_balance,tax_rate,gdp_usd,total_imports_country,total_exports_country,total_trade_country,global_total_imports,global_total_exports,global_total_trade,imports_gdp_ratio,exports_gdp_ratio,tariff_prev_year,tariff_change_value,tariff_change_direction,yoy_import_value,yoy_export_value,yoy_trade_balance,partner_iso,partner_name,commodity_group,is_major_economy
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,BRA,Brazil,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,CAN,Canada,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,CHN,China,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,DEU,Germany,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,JPN,Japan,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,KOR,Rep. of Korea,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,MEX,Mexico,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,NGA,Nigeria,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,IND,India,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,ZAF,South Africa,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,GBR,United Kingdom,electronics,True
2015,BRA,Brazil,85,15325525313.0,1587015550.0,-13738509763.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.008503729613555682,0.0008805930533591986,8.27,0.0,no_change,3.1899953522856457,3.4459411490345273,3.162315685151607,USA,USA,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,BRA,Brazil,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,CAN,Canada,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,CHN,China,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,DEU,Germany,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,JPN,Japan,electronics,True
2015,BRA,Brazil,87,6929859665.0,1713660642.0,-5216199023.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0038451962753314564,0.0009508650732251895,8.27,0.0,no_change,-0.5478223732323426,0.07980078834136184,-0.620322792429201,KOR,Rep. of Korea,electronics,True
