"","reporterDesc","partnerDesc","primaryValue","flowCode"
"247","Angola","Eritrea",6083,"M"
"248","Angola","Estonia",4559186,"M"
"249","Angola","Faroe Isds",125697,"M"
"250","Angola","Finland",10087601,"M"
"251","Angola","France",517497494,"M"
"252","Angola","Djibouti",100,"M"
"253","Angola","Gabon",993696,"M"
"254","Angola","Georgia",3133898,"M"
"255","Angola","Gambia",4464,"M"
"256","Angola","Germany",301853264,"M"
"257","Angola","Ghana",3459755,"M"
"258","Angola","Gibraltar",153227,"M"
"259","Angola","Greece",4256443,"M"
"260","Angola","Guam",462990,"M"
"261","Angola","Guatemala",23191,"M"
"262","Angola","Guinea",163573,"M"
"263","Angola","Guyana",9638224,"M"
"264","Angola","Honduras",185596,"M"
"265","Angola","China, Hong Kong SAR",14738924,"M"
"266","Angola","Hungary",4778330,"M"
"267","Angola","Iceland",460194,"M"
"268","Angola","Indonesia",187625450,"M"
"269","Angola","Iran",350913,"M"
"270","Angola","Iraq",596,"M"
"271","Angola","Ireland",76320379,"M"
"272","Angola","Israel",3100636,"M"
"273","Angola","Italy",477579515,"M"
"274","Angola","Cote d'Ivoire",5564355,"M"
"275","Angola","Jamaica",4275,"M"
"276","Angola","Japan",182296002,"M"
"277","Angola","Kazakhstan",760085,"M"
"278","Angola","Jordan",436241,"M"
"279","Angola","Kenya",2118059,"M"
"280","Angola","Dem. People's Rep. of Korea",2843839,"M"
"281","Angola","Rep. of Korea",691667047,"M"
"282","Angola","Kuwait",26240733,"M"
"283","Angola","Kyrgyzstan",435097,"M"
"284","Angola","Lao People's Dem. Rep.",73302,"M"
"285","Angola","Lebanon",13040147,"M"
"286","Angola","Lesotho",1,"M"
"287","Angola","Latvia",26709985,"M"
"288","Angola","Liberia",5455952,"M"
"289","Angola","Libya",12384,"M"
"290","Angola","Lithuania",57216248,"M"
"291","Angola","Luxembourg",10045281,"M"
"292","Angola","China, Macao SAR",1200470,"M"
"293","Angola","Madagascar",267,"M"
"294","Angola","Malawi",10,"M"
"295","Angola","Malaysia",297957499,"M"
"296","Angola","Mali",11266,"M"
"297","Angola","Malta",9046685,"M"
"298","Angola","Mauritania",1897049,"M"
"299","Angola","Mauritius",230094,"M"
"300","Angola","Mexico",50932889,"M"
"301","Angola","Other Asia, nes",39343665,"M"
"302","Angola","Mongolia",11472,"M"
"303","Angola","Rep. of Moldova",958,"M"
"304","Angola","Montserrat",172831,"M"
"305","Angola","Morocco",32334858,"M"
"306","Angola","Mozambique",29310408,"M"
"307","Angola","Oman",910457,"M"
"308","Angola","Namibia",32866573,"M"
"309","Angola","Nauru",420195,"M"
"310","Angola","Nepal",2381,"M"
"311","Angola","Netherlands",204083900,"M"
"312","Angola","Curacao",75525,"M"
"313","Angola","Aruba",2838,"M"
"314","Angola","New Caledonia",17488,"M"
"315","Angola","Vanuatu",14,"M"
"316","Angola","New Zealand",5341071,"M"
"317","Angola","Nicaragua",4202,"M"
"318","Angola","Niger",63038,"M"
"319","Angola","Nigeria",245217441,"M"
"320","Angola","Niue",11219,"M"
"321","Angola","Norway",241965835,"M"
"322","Angola","Marshall Isds",18090,"M"
"323","Angola","Pakistan",20659195,"M"
"324","Angola","Panama",1680181,"M"
"325","Angola","Papua New Guinea",9567,"M"
"326","Angola","Paraguay",2230516,"M"
"327","Angola","Peru",23299,"M"
"328","Angola","Philippines",393014,"M"
"329","Angola","Pitcairn",20,"M"
"330","Angola","Poland",131068335,"M"
"331","Angola","Portugal",1332389983,"M"
"332","Angola","Guinea-Bissau",28475,"M"
"333","Angola","Timor-Leste",6013,"M"
"334","Angola","Qatar",10905159,"M"
"335","Angola","Romania",45910135,"M"
"336","Angola","Russian Federation",106168974,"M"
"337","Angola","Rwanda",11105,"M"
"338","Angola","Saint Helena",3896,"M"
"339","Angola","Saint Kitts and Nevis",400,"M"
"340","Angola","Saint Lucia",228318,"M"
"341","Angola","Saint Vincent and the Grenadines",25883,"M"
"342","Angola","Sao Tome and Principe",74322,"M"
"343","Angola","Saudi Arabia",35926550,"M"
"344","Angola","Senegal",1476838,"M"
"345","Angola","Serbia",1475028,"M"
"346","Angola","Seychelles",818665,"M"
"347","Angola","Sierra Leone",2822248,"M"
"348","Angola","India",854294951,"M"
"349","Angola","Singapore",381881532,"M"
"350","Angola","Slovakia",2381222,"M"
"351","Angola","Viet Nam",20485390,"M"
"352","Angola","Slovenia",4953998,"M"
"353","Angola","Somalia",1387,"M"
"354","Angola","South Africa",485920631,"M"
"355","Angola","Zimbabwe",659774,"M"
"356","Angola","Spain",158537876,"M"
"357","Angola","Sudan",606189,"M"
"358","Angola","Suriname",153802,"M"
"359","Angola","Eswatini",408883,"M"
"360","Angola","Sweden",79616057,"M"
"361","Angola","Switzerland",19137599,"M"
"362","Angola","Tajikistan",4734,"M"
"363","Angola","Thailand",172255507,"M"
"364","Angola","Togo",79399628,"M"
"365","Angola","Tokelau",1602175,"M"
"366","Angola","Trinidad and Tobago",1833524,"M"
"367","Angola","United Arab Emirates",459767240,"M"
"368","Angola","Tunisia",5864775,"M"
"369","Angola","Turkiye",119689228,"M"
"370","Angola","Turkmenistan",579,"M"
"371","Angola","Turks and Caicos Isds",128900,"M"
"372","Angola","Uganda",3073431,"M"
"373","Angola","Ukraine",4096680,"M"
"374","Angola","North Macedonia",134686,"M"
"375","Angola","Egypt",29609238,"M"
"376","Angola","United Kingdom",1121912362,"M"
"377","Angola","United Rep. of Tanzania",907005,"M"
"378","Angola","USA",852491930,"M"
"379","Angola","Burkina Faso",910,"M"
"380","Angola","Uruguay",35267118,"M"
"381","Angola","Uzbekistan",87752,"M"
"382","Angola","Venezuela",1790,"M"
"383","Angola","Yemen",158,"M"
"384","Angola","Zambia",7676160,"M"
"385","Antigua and Barbuda","Afghanistan",72,"M"
"386","Antigua and Barbuda","American Samoa",281,"M"
"387","Antigua and Barbuda","Angola",2277,"M"
"388","Antigua and Barbuda","Argentina",481235,"M"
"389","Antigua and Barbuda","Australia",1253478,"M"
"390","Antigua and Barbuda","Austria",351524,"M"
"391","Antigua and Barbuda","Bahamas",82278,"M"
"392","Antigua and Barbuda","Bangladesh",47877,"M"
"393","Antigua and Barbuda","Barbados",6081275,"M"
"394","Antigua and Barbuda","Belgium",1219431,"M"
"395","Antigua and Barbuda","Bermuda",4207,"M"
"396","Antigua and Barbuda","Bolivia (Plurinational State of)",261,"M"
"397","Antigua and Barbuda","Bosnia Herzegovina",56264,"M"
"398","Antigua and Barbuda","Botswana",41,"M"
"399","Antigua and Barbuda","Bouvet Island",3844,"M"
"400","Antigua and Barbuda","Brazil",11273356,"M"
"401","Antigua and Barbuda","Belize",1263098,"M"
"402","Antigua and Barbuda","Br. Virgin Isds",11520,"M"
"403","Antigua and Barbuda","Bulgaria",47421,"M"
"404","Antigua and Barbuda","Myanmar",932,"M"
"405","Antigua and Barbuda","Cambodia",7832,"M"
"406","Antigua and Barbuda","Cameroon",3590,"M"
"407","Antigua and Barbuda","Canada",8178635,"M"
"408","Antigua and Barbuda","Cayman Isds",3576,"M"
"409","Antigua and Barbuda","Sri Lanka",100403,"M"
"410","Antigua and Barbuda","Chile",1105901,"M"
"411","Antigua and Barbuda","China",34564257,"M"
"412","Antigua and Barbuda","Colombia",2206944,"M"
"413","Antigua and Barbuda","Costa Rica",860842,"M"
"414","Antigua and Barbuda","Croatia",28580,"M"
"415","Antigua and Barbuda","Cuba",311620,"M"
"416","Antigua and Barbuda","Cyprus",1005304,"M"
"417","Antigua and Barbuda","Czechia",1899860,"M"
"418","Antigua and Barbuda","Denmark",1213641,"M"
"419","Antigua and Barbuda","Dominica",1871705,"M"
"420","Antigua and Barbuda","Dominican Rep.",11486680,"M"
"421","Antigua and Barbuda","Ecuador",96740,"M"
"422","Antigua and Barbuda","El Salvador",219579,"M"
"423","Antigua and Barbuda","Estonia",96120,"M"
"424","Antigua and Barbuda","Falkland Isds (Malvinas)",504,"M"
"425","Antigua and Barbuda","Finland",572558,"M"
"426","Antigua and Barbuda","France",10192852,"M"
"427","Antigua and Barbuda","Gabon",16176,"M"
"428","Antigua and Barbuda","Georgia",64260,"M"
"429","Antigua and Barbuda","State of Palestine",135,"M"
"430","Antigua and Barbuda","Germany",6266425,"M"
"431","Antigua and Barbuda","Ghana",1743,"M"
"432","Antigua and Barbuda","Kiribati",47,"M"
"433","Antigua and Barbuda","Greece",4454007,"M"
"434","Antigua and Barbuda","Grenada",3831116,"M"
"435","Antigua and Barbuda","Guatemala",730228,"M"
"436","Antigua and Barbuda","Guinea",370,"M"
"437","Antigua and Barbuda","Guyana",3417078,"M"
"438","Antigua and Barbuda","Haiti",709,"M"
"439","Antigua and Barbuda","Holy See (Vatican City State)",2037,"M"
"440","Antigua and Barbuda","Honduras",836484,"M"
"441","Antigua and Barbuda","China, Hong Kong SAR",1955150,"M"
"442","Antigua and Barbuda","Hungary",5502449,"M"
"443","Antigua and Barbuda","Iceland",102,"M"
"444","Antigua and Barbuda","Indonesia",5125900,"M"
"445","Antigua and Barbuda","Iran",46659,"M"
"446","Antigua and Barbuda","Ireland",91080,"M"
"447","Antigua and Barbuda","Israel",18853,"M"
"448","Antigua and Barbuda","Italy",7778072,"M"
"449","Antigua and Barbuda","Jamaica",9566612,"M"
"450","Antigua and Barbuda","Japan",26163091,"M"
"451","Antigua and Barbuda","Jordan",91105,"M"
"452","Antigua and Barbuda","Kenya",6275,"M"
"453","Antigua and Barbuda","Rep. of Korea",5786735,"M"
"454","Antigua and Barbuda","Lebanon",257609,"M"
"455","Antigua and Barbuda","Latvia",38175,"M"
"456","Antigua and Barbuda","Lithuania",65959,"M"
"457","Antigua and Barbuda","Luxembourg",8721,"M"
"458","Antigua and Barbuda","China, Macao SAR",3915,"M"
"459","Antigua and Barbuda","Madagascar",18486,"M"
"460","Antigua and Barbuda","Malaysia",1440006,"M"
"461","Antigua and Barbuda","Mali",5415,"M"
"462","Antigua and Barbuda","Malta",303,"M"
"463","Antigua and Barbuda","Mauritius",4886,"M"
"464","Antigua and Barbuda","Mexico",6970888,"M"
"465","Antigua and Barbuda","Other Asia, nes",255276,"M"
"466","Antigua and Barbuda","Montserrat",734099,"M"
"467","Antigua and Barbuda","Morocco",23225,"M"
"468","Antigua and Barbuda","Oman",547,"M"
"469","Antigua and Barbuda","Nauru",4883,"M"
"470","Antigua and Barbuda","Nepal",406,"M"
"471","Antigua and Barbuda","Netherlands",8741208,"M"
"472","Antigua and Barbuda","Curacao",309280,"M"
"473","Antigua and Barbuda","Aruba",423,"M"
"474","Antigua and Barbuda","Sint Maarten",7268008,"M"
"475","Antigua and Barbuda","New Caledonia",2718,"M"
"476","Antigua and Barbuda","Vanuatu",45314,"M"
"477","Antigua and Barbuda","New Zealand",851675,"M"
"478","Antigua and Barbuda","Nicaragua",8622,"M"
"479","Antigua and Barbuda","Niger",39525,"M"
"480","Antigua and Barbuda","Nigeria",794334,"M"
"481","Antigua and Barbuda","Norfolk Isds",129,"M"
"482","Antigua and Barbuda","Norway",458075,"M"
"483","Antigua and Barbuda","Pakistan",221628,"M"
"484","Antigua and Barbuda","Panama",3108719,"M"
"485","Antigua and Barbuda","Papua New Guinea",851,"M"
"486","Antigua and Barbuda","Paraguay",566603,"M"
"487","Antigua and Barbuda","Peru",978559,"M"
"488","Antigua and Barbuda","Philippines",39538,"M"
"489","Antigua and Barbuda","Pitcairn",1012,"M"
"490","Antigua and Barbuda","Poland",1097279,"M"
"491","Antigua and Barbuda","Portugal",140568,"M"
"492","Antigua and Barbuda","Guinea-Bissau",105,"M"
"493","Antigua and Barbuda","Romania",50989,"M"
"494","Antigua and Barbuda","Saint Helena",152,"M"
"495","Antigua and Barbuda","Saint Kitts and Nevis",929518,"M"
"496","Antigua and Barbuda","Anguilla",535542,"M"
"497","Antigua and Barbuda","Saint Lucia",2392353,"M"
"498","Antigua and Barbuda","Saint Vincent and the Grenadines",3366174,"M"
"499","Antigua and Barbuda","San Marino",909,"M"
"500","Antigua and Barbuda","Sao Tome and Principe",1003,"M"
"501","Antigua and Barbuda","Saudi Arabia",239258,"M"
"502","Antigua and Barbuda","Senegal",305,"M"
"503","Antigua and Barbuda","Serbia",110763,"M"
"504","Antigua and Barbuda","Sierra Leone",1695,"M"
"505","Antigua and Barbuda","India",5394856,"M"
"506","Antigua and Barbuda","Singapore",881810,"M"
"507","Antigua and Barbuda","Slovakia",16014,"M"
"508","Antigua and Barbuda","Viet Nam",1103312,"M"
"509","Antigua and Barbuda","Slovenia",116946,"M"
"510","Antigua and Barbuda","South Africa",1716413,"M"
"511","Antigua and Barbuda","Spain",5949082,"M"
"512","Antigua and Barbuda","Sudan",520,"M"
"513","Antigua and Barbuda","Suriname",472622,"M"
"514","Antigua and Barbuda","Eswatini",260202,"M"
