"refYear","reporterDesc","section","flowCode","totalValue"
2020,"Mexico","Vehicles, aircraft, vessels","X",306672110105
2020,"Mexico","Wood and articles of wood","M",4377172457
2020,"Mexico","Wood and articles of wood","X",1786636298
2020,"Mexico","Works of art, antiques, special","M",69167843109
2020,"Mexico","Works of art, antiques, special","X",59331527334
2020,"Netherlands","Animal or vegetable fats & oils","M",19609888108.667
2020,"Netherlands","Animal or vegetable fats & oils","X",15553214162.663
2020,"Netherlands","Chemicals & allied industries","M",172242323328.158
2020,"Netherlands","Chemicals & allied industries","X",237184071238.014
2020,"Netherlands","Hides, skins, leather, furs","M",281492346.989
2020,"Netherlands","Hides, skins, leather, furs","X",592934418.606
2020,"Netherlands","Live animals; animal products","M",38585680416.38
2020,"Netherlands","Live animals; animal products","X",75855493839.575
2020,"Netherlands","Mineral products","M",159349035993.984
2020,"Netherlands","Mineral products","X",140184225803.856
2020,"Netherlands","Plastics & rubber","M",60235027499.682
2020,"Netherlands","Plastics & rubber","X",82751855141.843
2020,"Netherlands","Prepared foods; beverages; tobacco","M",77744961458.428
2020,"Netherlands","Prepared foods; beverages; tobacco","X",118551157428.149
2020,"Netherlands","Vegetable products","M",74404120013.912
2020,"Netherlands","Vegetable products","X",102533728308.723
2020,"Rep. of Korea","Animal or vegetable fats & oils","M",4129191303
2020,"Rep. of Korea","Animal or vegetable fats & oils","X",319445685
2020,"Rep. of Korea","Chemicals & allied industries","M",129232092105
2020,"Rep. of Korea","Chemicals & allied industries","X",142865556201
2020,"Rep. of Korea","Hides, skins, leather, furs","M",452451328
2020,"Rep. of Korea","Hides, skins, leather, furs","X",277103675
2020,"Rep. of Korea","Live animals; animal products","M",33041916579
2020,"Rep. of Korea","Live animals; animal products","X",4547052888
2020,"Rep. of Korea","Mineral products","M",310030683357
2020,"Rep. of Korea","Mineral products","X",78833422068
2020,"Rep. of Korea","Plastics & rubber","M",42381549618
2020,"Rep. of Korea","Plastics & rubber","X",114024938778
2020,"Rep. of Korea","Prepared foods; beverages; tobacco","M",32628305247
2020,"Rep. of Korea","Prepared foods; beverages; tobacco","X",18702708348
2020,"Rep. of Korea","Vegetable products","M",27860024775
2020,"Rep. of Korea","Vegetable products","X",3070727349
2020,"USA","Animal or vegetable fats & oils","M",20603413182
2020,"USA","Animal or vegetable fats & oils","X",10785437322
2020,"USA","Chemicals & allied industries","M",775611336450
2020,"USA","Chemicals & allied industries","X",499215683185
2020,"USA","Hides, skins, leather, furs","M",490443194
2020,"USA","Hides, skins, leather, furs","X",2420325633
2020,"USA","Live animals; animal products","M",100944347448
2020,"USA","Live animals; animal products","X",89142073935
2020,"USA","Mineral products","M",409373117250
2020,"USA","Mineral products","X",491472342270
2020,"USA","Plastics & rubber","M",272888632494
2020,"USA","Plastics & rubber","X",153926606947
2020,"USA","Prepared foods; beverages; tobacco","M",232210416339
2020,"USA","Prepared foods; beverages; tobacco","X",130175944257
2020,"USA","Vegetable products","M",155033062539
2020,"USA","Vegetable products","X",217965501144
2021,"China","Animal or vegetable fats & oils","M",47907994881
2021,"China","Animal or vegetable fats & oils","X",7093111788
2021,"China","Chemicals & allied industries","M",569933258940
2021,"China","Chemicals & allied industries","X",637942004622
2021,"China","Hides, skins, leather, furs","M",6233950548
2021,"China","Hides, skins, leather, furs","X",999891825
2021,"China","Live animals; animal products","M",171223320645
2021,"China","Live animals; animal products","X",45087719289
2021,"China","Mineral products","M",2060493071175
2021,"China","Mineral products","X",153364306773
2021,"China","Plastics & rubber","M",303536631014
2021,"China","Plastics & rubber","X",475463678996
2021,"China","Prepared foods; beverages; tobacco","M",97552317708
2021,"China","Prepared foods; beverages; tobacco","X",110599070877
2021,"China","Vegetable products","M",309068643789
2021,"China","Vegetable products","X",84328086879
2021,"China, Hong Kong SAR","Animal or vegetable fats & oils","M",769239331.77
2021,"China, Hong Kong SAR","Animal or vegetable fats & oils","X",166310454.766
2021,"China, Hong Kong SAR","Chemicals & allied industries","M",52762177364.893
2021,"China, Hong Kong SAR","Chemicals & allied industries","X",37491530817.595
2021,"China, Hong Kong SAR","Hides, skins, leather, furs","M",643218684.469
2021,"China, Hong Kong SAR","Hides, skins, leather, furs","X",600251430.571
2021,"China, Hong Kong SAR","Live animals; animal products","M",32635679634.378
2021,"China, Hong Kong SAR","Live animals; animal products","X",6100693953.613
2021,"China, Hong Kong SAR","Mineral products","M",35890704252.248
2021,"China, Hong Kong SAR","Mineral products","X",2389996685.916
2021,"China, Hong Kong SAR","Plastics & rubber","M",26884960545.791
2021,"China, Hong Kong SAR","Plastics & rubber","X",29402864655.711
2021,"China, Hong Kong SAR","Prepared foods; beverages; tobacco","M",26775138925.538
2021,"China, Hong Kong SAR","Prepared foods; beverages; tobacco","X",11627047567.599
2021,"China, Hong Kong SAR","Vegetable products","M",21113695374.575
2021,"China, Hong Kong SAR","Vegetable products","X",10088635327.605
2021,"France","Animal or vegetable fats & oils","M",9451498002.056
2021,"France","Animal or vegetable fats & oils","X",6976533428.552
2021,"France","Chemicals & allied industries","M",259191970008.487
2021,"France","Chemicals & allied industries","X",312006585672.959
2021,"France","Hides, skins, leather, furs","M",717225029.799
2021,"France","Hides, skins, leather, furs","X",980311819.823
2021,"France","Live animals; animal products","M",53436881927.214
2021,"France","Live animals; animal products","X",50218054863.094
2021,"France","Mineral products","M",231872078645.543
2021,"France","Mineral products","X",61618042372.188
2021,"France","Plastics & rubber","M",113402612968.488
2021,"France","Plastics & rubber","X",95774214323.888
2021,"France","Prepared foods; beverages; tobacco","M",94159696390.396
2021,"France","Prepared foods; beverages; tobacco","X",131553602669.179
2021,"France","Vegetable products","M",63228461422.158
2021,"France","Vegetable products","X",56598290645.344
2021,"Germany","Animal or vegetable fats & oils","M",15530420195.556
2021,"Germany","Animal or vegetable fats & oils","X",13325284980.41
2021,"Germany","Chemicals & allied industries","M",524762477966.87
2021,"Germany","Chemicals & allied industries","X",726899421521.312
2021,"Germany","Hides, skins, leather, furs","M",794615194.375
2021,"Germany","Hides, skins, leather, furs","X",1117525261.562
2021,"Germany","Live animals; animal products","M",71538777435.36
2021,"Germany","Live animals; animal products","X",69136988761.839
2021,"Germany","Mineral products","M",428142043949.898
2021,"Germany","Mineral products","X",138560474339.393
2021,"Germany","Plastics & rubber","M",213063023833.827
2021,"Germany","Plastics & rubber","X",273026670968.903
2021,"Germany","Prepared foods; beverages; tobacco","M",132982024614.809
2021,"Germany","Prepared foods; beverages; tobacco","X",149178568823.415
2021,"Germany","Vegetable products","M",126107728827.31
2021,"Germany","Vegetable products","X",49335746383.02
2021,"Italy","Animal or vegetable fats & oils","M",15786215635.559
2021,"Italy","Animal or vegetable fats & oils","X",9283290278.97
2021,"Italy","Chemicals & allied industries","M",217609322257.852
2021,"Italy","Chemicals & allied industries","X",209109392843.854
2021,"Italy","Hides, skins, leather, furs","M",3691577604.419
2021,"Italy","Hides, skins, leather, furs","X",3799231810.175
2021,"Italy","Live animals; animal products","M",52771649417.505
2021,"Italy","Live animals; animal products","X",26353056431.324
2021,"Italy","Mineral products","M",237658820040.464
2021,"Italy","Mineral products","X",59043431339.737
